# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-1.88000000e+00  -2.3127432365010492e+00  -3.4334741159828965e+00  4.1397494831337172e+00  +2.0000000000000000e+00  +3.4495880025310628e+00
-1.86000000e+00  -5.6546369077249936e-01  -4.1230294641179741e+00  4.1616248206159820e+00  +2.0000000000000000e+00  +3.4098690186297489e+00
-1.84000000e+00  +1.3170583278277619e+00  -3.9708834323418043e+00  4.1836058456966390e+00  +2.0000000000000000e+00  +3.3700942958431352e+00
-1.82000000e+00  +2.9484846286779645e+00  -2.9990442529532944e+00  4.2056899596525676e+00  +2.0000000000000000e+00  +3.3302626249273621e+00
-1.80000000e+00  +3.9898049295448428e+00  -1.3987069407124697e+00  4.2278747003450281e+00  +2.0000000000000000e+00  +3.2903727081665366e+00
-1.78000000e+00  +4.2197887776032923e+00  +5.0716785316086399e-01  4.2501572393108571e+00  +2.0000000000000000e+00  +3.2504231543972155e+00
-1.76000000e+00  +3.5820045285793163e+00  +2.3289045746141372e+00  4.2725347231381727e+00  +2.0000000000000000e+00  +3.2104124735677559e+00
-1.74000000e+00  +2.1984117141571811e+00  +3.6897216517486258e+00  4.2950040666250970e+00  +2.0000000000000000e+00  +3.1703390707879051e+00
-1.72000000e+00  +3.4630041994392458e-01  +4.3036515803533737e+00  4.3175619168613473e+00  +2.0000000000000000e+00  +3.1302012398184251e+00
-1.70000000e+00  -1.5971231488243056e+00  +4.0356628869602771e+00  4.3402047520478826e+00  +2.0000000000000000e+00  +3.0899971559442063e+00
-1.68000000e+00  -3.2314680870199752e+00  +2.9313412021717196e+00  4.3629287458057435e+00  +2.0000000000000000e+00  +3.0497248681670999e+00
-1.66000000e+00  -4.2156218243642876e+00  +1.2096112038931055e+00  4.3857298857362625e+00  +2.0000000000000000e+00  +3.0093822906464047e+00
-1.64000000e+00  -4.3389701479186460e+00  -7.8046495755424694e-01  4.4086038033031851e+00  +2.0000000000000000e+00  +2.9689671933054607e+00
-1.62000000e+00  -3.5665029371810375e+00  -2.6303336689537464e+00  4.4315458263401322e+00  +2.0000000000000000e+00  +2.9284771915118628e+00
-1.60000000e+00  -2.0481411974199926e+00  -3.9557732679635937e+00  4.4545509888320245e+00  +2.0000000000000000e+00  +2.8879097347262142e+00
-1.58000000e+00  -8.9899109144730455e-02  -4.4767113741190441e+00  4.4776139379128965e+00  +2.0000000000000000e+00  +2.8472620939997446e+00
-1.56000000e+00  +1.9076332748275155e+00  -4.0764563578962676e+00  4.5007289575203320e+00  +2.0000000000000000e+00  +2.8065313481842051e+00
-1.54000000e+00  +3.5311584473590343e+00  -2.8278083785183492e+00  4.5238899418502259e+00  +2.0000000000000000e+00  +2.7657143686977408e+00
-1.52000000e+00  +4.4401812784141805e+00  -9.8021463014413723e-01  4.5470903340849071e+00  +2.0000000000000000e+00  +2.7248078026674674e+00
-1.50000000e+00  +4.4384735898838619e+00  +1.0898654648194488e+00  4.5703232423432203e+00  +2.0000000000000000e+00  +2.6838080542425220e+00
-1.48000000e+00  +3.5164854989254857e+00  +2.9555573175243395e+00  4.5935813175914157e+00  +2.0000000000000000e+00  +2.6427112638397081e+00
-1.46000000e+00  +1.8555277320239194e+00  +4.2275742916821661e+00  4.6168568914361856e+00  +2.0000000000000000e+00  +2.6015132850465372e+00
-1.44000000e+00  -2.0763351840826308e-01  +4.6354941551345368e+00  4.6401419956993823e+00  +2.0000000000000000e+00  +2.5602096588622287e+00
-1.42000000e+00  -2.2489175990456096e+00  +4.0853317348089044e+00  4.6634285403267199e+00  +2.0000000000000000e+00  +2.5187955849047721e+00
-1.40000000e+00  -3.8440555735106603e+00  +2.6811327961094555e+00  4.6867084742505671e+00  +2.0000000000000000e+00  +2.4772658891494626e+00
-1.38000000e+00  -4.6568157800718675e+00  +7.0563691849984322e-01  4.7099741687483077e+00  +2.0000000000000000e+00  +2.4356149876893087e+00
-1.36000000e+00  -4.5099742822669171e+00  -1.4364862708916939e+00  4.7332188659694703e+00  +2.0000000000000000e+00  +2.3938368459173867e+00
-1.34000000e+00  -3.4240253599817945e+00  -3.3014765531627743e+00  4.7564374375031999e+00  +2.0000000000000000e+00  +2.3519249324221136e+00
-1.32000000e+00  -1.6151537520468500e+00  -4.4984571670011508e+00  4.7796274463701707e+00  +2.0000000000000000e+00  +2.3098721667538538e+00
-1.30000000e+00  +5.4761964161108434e-01  -4.7714685009705953e+00  4.8027907436856783e+00  +2.0000000000000000e+00  +2.2676708600594875e+00
-1.28000000e+00  +2.6176781326902328e+00  -4.0543083913814639e+00  4.8259356956750654e+00  +2.0000000000000000e+00  +2.2253126473830425e+00
-1.26000000e+00  +4.1631090504517827e+00  -2.4863840074191828e+00  4.8490805724697355e+00  +2.0000000000000000e+00  +2.1827884101855060e+00
-1.24000000e+00  +4.8569607778135699e+00  -3.8578807533211207e-01  4.8722582481112244e+00  +2.0000000000000000e+00  +2.1400881873327813e+00
-1.22000000e+00  +4.5465320853424140e+00  +1.8152666525930532e+00  4.8955231613244798e+00  +2.0000000000000000e+00  +2.0972010724208472e+00
-1.20000000e+00  +3.2869273112558877e+00  +3.6595476090197918e+00  4.9189612574366075e+00  +2.0000000000000000e+00  +2.0541150948294544e+00
-1.18000000e+00  +1.3314438430127820e+00  +4.7599981921277035e+00  4.9427042695427019e+00  +2.0000000000000000e+00  +2.0108170812906443e+00
-1.16000000e+00  -9.1962469170310879e-01  +4.8810739683365698e+00  4.9669500357828191e+00  +2.0000000000000000e+00  +1.9672924939864767e+00
-1.14000000e+00  -3.0013625155301282e+00  +3.9889593397129399e+00  4.9919909418499984e+00  +2.0000000000000000e+00  +1.9235252401974896e+00
-1.12000000e+00  -4.4806287600688517e+00  +2.2598288113651135e+00  5.0182527180515724e+00  +2.0000000000000000e+00  +1.8794974472355943e+00
-1.10000000e+00  -5.0461516999262743e+00  +4.4185046959080078e-02  5.0463451424811998e+00  +2.0000000000000000e+00  +1.8351891947092702e+00
